Vertikaalne (alustaja)	 andreasots 1
Horisontaalne	 moment92 1
Mängu algus	 2011-01-02 18:27:01
Mängu kestus	 01:48
Võitja	 moment92 1
1:	 andreasots 1	 0 10
2:	 moment92 1	 0 1
3:	 andreasots 1	 0 8
4:	 moment92 1	 0 3
5:	 andreasots 1	 0 6
6:	 moment92 1	 1 10
7:	 andreasots 1	 0 4
8:	 moment92 1	 1 8
9:	 andreasots 1	 1 6
10:	 moment92 1	 2 1
11:	 andreasots 1	 1 4
12:	 moment92 1	 2 3
13:	 andreasots 1	 2 6
14:	 moment92 1	 3 10
15:	 andreasots 1	 2 4
16:	 moment92 1	 4 1
17:	 andreasots 1	 3 8
18:	 moment92 1	 6 1
19:	 andreasots 1	 3 6
20:	 moment92 1	 5 10
21:	 andreasots 1	 3 4
22:	 moment92 1	 4 8
23:	 andreasots 1	 4 6
24:	 moment92 1	 7 10
25:	 andreasots 1	 4 4
26:	 moment92 1	 8 1
27:	 andreasots 1	 4 2
28:	 moment92 1	 5 3
29:	 andreasots 1	 5 6
30:	 moment92 1	 6 8
31:	 andreasots 1	 5 4
32:	 moment92 1	 6 6
33:	 andreasots 1	 6 4
34:	 moment92 1	 9 10
35:	 andreasots 1	 7 4
36:	 moment92 1	 8 8
37:	 andreasots 1	 7 2
38:	 moment92 1	 8 3
39:	 andreasots 1	 8 6
40:	 moment92 1	 10 3
41:	 andreasots 1	 8 4
42:	 moment92 1	 10 5
43:	 andreasots 1	 9 6
44:	 moment92 1	 10 9
45:	 andreasots 1	 9 4
46:	 moment92 1	 10 1
47:	 andreasots 1	 10 7
48:	 moment92 1	 10 6
49:	 andreasots 1	 11 10
50:	 moment92 1	 1 9
51:	 andreasots 1	 11 7
52:	 moment92 1	 0 0
